'Nombre: Aragon en Marcilla Código: C05 Fecha: 11/09/2010 Canales:18 IP: 10.15.2.21
'HHMM;1,A1,;2,A2,C;3,A3,uS;4,A4,mg/l;5,A5,mV;6,A6,mg/l;7,A7,m-1;8,A8,NTU;9,A9,m;10,A10,;11,A11,;12,A12,;13,A13,;14,A14,;15,A15,;16,A16,;17,A17,;18,A18,
0630 8.24V 16.83V 373.48V 9.76V 380.26V 0.03V 5.40V 18.70V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0640 8.24V 16.80V 374.85V 9.77V 380.19V 0.03V 5.50V 18.34V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0650 8.24V 16.78V 374.80V 9.76V 380.26V 0.03V 5.33V 19.73V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0700 8.24V 16.76V 374.76V 9.76V 381.48V 0.02V 4.91V 19.03V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0710 8.24V 16.75V 376.34V 9.77V 381.51V 0.02V 4.87V 19.73V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0720 8.23V 16.73V 374.72V 9.78V 381.45V 0.02V 5.02V 20.44V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0730 8.23V 16.71V 374.89V 9.78V 381.35V 0.02V 5.33V 20.40V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0740 8.23V 16.70V 375.02V 9.80V 381.41V 0.02V 4.95V 20.06V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0750 8.23V 16.70V 376.30V 9.80V 381.32V 0.02V 4.91V 19.75V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0800 8.23V 16.69V 374.93V 9.81V 378.36V 0.03V 5.99V 24.90V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0810 8.23V 16.69V 376.34V 9.84V 378.26V 0.03V 5.01V 19.71V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0820 8.23V 16.69V 377.62V 9.85V 377.17V 0.02V 5.01V 19.76V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0830 8.23V 16.69V 376.34V 9.88V 376.14V 0.03V 5.29V 22.13V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0840 8.24V 16.71V 376.34V 9.91V 375.02V 0.03V 5.26V 19.71V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0850 8.24V 16.72V 377.80V 9.94V 375.02V 0.03V 5.12V 19.38V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0900 8.24V 16.74V 377.84V 9.97V 373.96V 0.03V 4.77V 19.72V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0910 8.25V 16.76V 376.17V 10.01V 373.06V 0.03V 5.12V 18.37V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0920 8.25V 16.78V 377.50V 10.03V 371.64V 0.02V 4.91V 18.00V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0930 8.25V 16.78V 378.82V 10.05V 370.84V 0.02V 4.91V 18.01V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0940 8.25V 16.80V 379.12V 10.08V 369.71V 0.03V 5.04V 19.03V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0950 8.26V 16.81V 380.49V 10.12V 367.43V 0.02V 4.91V 17.98V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1000 8.26V 16.85V 381.77V 10.15V 366.57V 0.02V 4.84V 17.22V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1010 8.27V 16.86V 381.60V 10.18V 364.48V 0.02V 4.84V 16.59V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1020 8.27V 16.90V 383.10V 10.22V 363.38V 0.03V 4.80V 16.93V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1030 8.28V 16.93V 385.79V 10.26V 361.13V 0.03V 4.77V 16.23V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1040 8.28V 16.97V 388.74V 10.30V 360.11V 0.03V 5.36V 16.57V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1050 8.29V 17.02V 388.53V 10.34V 358.05V 0.03V 4.69V 16.21V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1100 8.30V 17.05V 388.70V 10.37V 355.93V 0.03V 4.94V 16.24V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1110 8.30V 17.09V 389.81V 10.41V 353.71V 0.03V 4.83V 16.22V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1120 8.31V 17.12V 392.71V 10.45V 352.75V 0.03V 4.87V 16.21V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1130 8.31V 17.17V 392.80V 10.49V 350.63V 0.03V 4.87V 15.85V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1140 8.32V 17.23V 394.21V 10.54V 349.56V 0.03V 4.86V 17.22V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1150 8.33V 17.28V 394.08V 10.58V 347.48V 0.03V 6.15V 16.21V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1200 8.34V 17.33V 395.45V 10.62V 345.29V 0.03V 4.90V 16.54V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1210 8.34V 17.38V 396.69V 10.66V 343.14V 0.03V 4.76V 16.56V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1220 8.35V 17.43V 395.54V 10.70V 341.02V 0.03V 4.82V 16.51V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1230 8.36V 17.49V 393.95V 10.75V 340.05V 0.03V 4.58V 16.53V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1240 8.37V 17.55V 396.90V 10.78V 337.83V 0.03V 4.62V 16.16V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1250 8.37V 17.61V 396.82V 10.81V 335.84V 0.03V 5.10V 16.88V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1300 8.38V 17.64V 392.46V 10.84V 334.72V 0.03V 4.93V 16.17V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1310 8.39V 17.71V 395.49V 10.88V 332.56V 0.03V 4.93V 16.49V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1320 8.40V 17.78V 395.37V 10.89V 331.60V 0.03V 4.79V 16.52V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1330 8.40V 17.81V 391.13V 10.90V 329.41V 0.03V 4.54V 16.84V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1340 8.41V 17.85V 392.63V 10.89V 328.68V 0.03V 4.79V 16.87V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1350 8.41V 17.88V 395.41V 10.92V 328.45V 0.03V 5.28V 17.91V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1400 8.42V 17.90V 391.30V 10.93V 327.42V 0.03V 5.10V 16.88V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1410 8.42V 17.92V 394.00V 10.93V 326.43V 0.03V 4.31V 16.85V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
